SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
134561,1,Cash loans,F,N,N,4,67500.0,331920.0,17077.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006305,-13280,-280,-3471.0,-4880,,1,1,1,1,0,0,Sales staff,6.0,3,3,TUESDAY,9,0,0,0,0,0,0,Self-employed,0.3457171951791896,0.4127344161068856,0.6397075677637197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-956.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
120952,1,Cash loans,M,Y,Y,0,135000.0,225000.0,11074.5,225000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,With parents,0.0228,-8438,-809,-3232.0,-838,2.0,1,1,0,1,0,0,Laborers,2.0,2,2,SUNDAY,15,0,0,0,0,0,0,Business Entity Type 3,,0.4530704545682325,0.2431864804420123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,-555.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
188909,0,Cash loans,F,N,N,0,270000.0,593010.0,17122.5,495000.0,Unaccompanied,Pensioner,Secondary / secondary special,Widow,House / apartment,0.005144,-22532,365243,-10231.0,-4226,,1,0,0,1,0,0,,1.0,2,2,SUNDAY,11,0,0,0,0,0,0,XNA,,0.5746638509651143,0.180887977767074,0.0155,0.0193,0.9861,0.8096,0.0022,0.0,0.0345,0.1667,,0.0054,0.0126,0.0151,0.0,0.0,0.0158,0.02,0.9861,0.8171,0.0022,0.0,0.0345,0.1667,,0.0055,0.0138,0.0158,0.0,0.0,0.0156,0.0193,0.9861,0.8121,0.0022,0.0,0.0345,0.1667,,0.0055,0.0128,0.0154,0.0,0.0,org spec account,block of flats,0.0119,Panel,No,0.0,0.0,0.0,0.0,-1102.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
347275,0,Cash loans,M,Y,Y,2,630000.0,1125000.0,36292.5,1125000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.0145199999999999,-16758,-1093,-80.0,-290,3.0,1,1,0,1,0,0,Core staff,4.0,2,2,FRIDAY,15,0,0,0,0,0,0,Restaurant,,0.6229959372837893,0.3328505641648731,0.0546,0.0976,0.9891,0.8504,0.0364,0.0,0.1034,0.1667,0.0417,0.0856,0.0429,0.0599,0.0077,0.0094,0.0557,0.1013,0.9891,0.8563,0.0367,0.0,0.1034,0.1667,0.0417,0.0876,0.0468,0.0625,0.0078,0.0099,0.0552,0.0976,0.9891,0.8524,0.0366,0.0,0.1034,0.1667,0.0417,0.0871,0.0436,0.061,0.0078,0.0096,reg oper account,block of flats,0.0757,"Stone, brick",No,1.0,0.0,1.0,0.0,-720.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.0,0.0,1.0
250804,0,Cash loans,M,Y,N,0,180000.0,774000.0,28813.5,774000.0,Unaccompanied,Commercial associate,Higher education,Single / not married,Municipal apartment,0.018029,-11214,-831,-615.0,-626,15.0,1,1,0,1,0,0,High skill tech staff,1.0,3,3,SATURDAY,5,0,0,0,0,1,1,Business Entity Type 3,0.3698333717571991,0.5128407971420282,0.221335206354466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-67.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
348749,0,Cash loans,F,N,Y,1,112500.0,142200.0,9387.0,112500.0,Unaccompanied,Working,Secondary / secondary special,Married,With parents,0.022625,-10213,-2189,-4426.0,-2097,,1,1,0,1,0,0,Laborers,3.0,2,2,SATURDAY,11,0,0,0,1,1,1,Transport: type 4,,0.2440078209202131,0.2721336844147212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
231383,0,Revolving loans,F,Y,Y,0,256500.0,765000.0,38250.0,765000.0,Unaccompanied,Commercial associate,Lower secondary,Married,Rented apartment,0.032561,-22488,-6928,-12499.0,-4074,30.0,1,1,0,1,1,0,Accountants,2.0,1,1,MONDAY,17,0,0,0,0,0,0,Business Entity Type 3,,0.7838283816775964,0.6785676886853644,0.332,0.2167,0.9781,0.7008,0.0616,0.36,0.3103,0.3333,0.375,0.1463,0.2707,0.3231,0.0,0.0,0.3382,0.2249,0.9782,0.7125,0.0622,0.3625,0.3103,0.3333,0.375,0.1496,0.2957,0.3366,0.0,0.0,0.3352,0.2167,0.9781,0.7048,0.062,0.36,0.3103,0.3333,0.375,0.1488,0.2753,0.3289,0.0,0.0,reg oper account,block of flats,0.2878,Panel,No,0.0,0.0,0.0,0.0,-1909.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,1.0
119647,0,Cash loans,F,N,Y,0,45000.0,454500.0,17739.0,454500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.030755,-12178,-931,-2948.0,-4449,,1,1,0,1,0,0,Sales staff,2.0,2,2,TUESDAY,9,0,0,0,0,1,1,Self-employed,,0.142870887589952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-496.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
257374,0,Cash loans,F,N,Y,0,292500.0,781920.0,33259.5,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,Municipal apartment,0.020246,-22634,365243,-9895.0,-4192,,1,0,0,1,1,0,,2.0,3,3,TUESDAY,11,0,0,0,0,0,0,XNA,0.3525525968873448,0.5404883358234642,,0.101,0.0958,0.9722,0.6192,0.0249,0.0,0.069,0.125,0.1667,0.073,0.0815,0.0336,0.0039,0.1121,0.1029,0.0994,0.9722,0.6341,0.0251,0.0,0.069,0.125,0.1667,0.0747,0.0891,0.035,0.0039,0.1187,0.102,0.0958,0.9722,0.6243,0.0251,0.0,0.069,0.125,0.1667,0.0743,0.0829,0.0342,0.0039,0.1145,reg oper account,block of flats,0.0508,"Stone, brick",No,0.0,0.0,0.0,0.0,-1191.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
305211,0,Cash loans,F,N,Y,0,157500.0,824823.0,24246.0,688500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,-23476,365243,-3955.0,-4466,,1,0,0,1,0,0,,2.0,2,2,MONDAY,13,0,0,0,0,0,0,XNA,0.8739117028635383,0.6572714882743836,0.4031416766587513,0.0247,0.0556,0.9757,0.6668,0.001,0.0,0.069,0.0833,0.0417,0.0275,0.0202,0.0187,0.0,0.0,0.0252,0.0577,0.9757,0.6798,0.001,0.0,0.069,0.0833,0.0417,0.0281,0.022,0.0195,0.0,0.0,0.025,0.0556,0.9757,0.6713,0.001,0.0,0.069,0.0833,0.0417,0.0279,0.0205,0.0191,0.0,0.0,reg oper account,block of flats,0.0153,"Stone, brick",No,1.0,0.0,1.0,0.0,-618.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
153812,0,Cash loans,F,N,Y,0,85500.0,225000.0,15790.5,225000.0,Unaccompanied,Pensioner,Lower secondary,Civil marriage,House / apartment,0.0145199999999999,-24101,365243,-14240.0,-4264,,1,0,0,1,1,0,,2.0,2,2,THURSDAY,6,0,0,0,0,0,0,XNA,,0.3420278293317465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-867.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
149325,0,Cash loans,M,Y,N,0,270000.0,755190.0,38610.0,675000.0,Unaccompanied,Commercial associate,Incomplete higher,Married,House / apartment,0.008068,-9664,-817,-4442.0,-2332,9.0,1,1,1,1,0,0,High skill tech staff,2.0,3,3,SUNDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.3064970323862092,0.7081894379461231,0.3740208032583212,0.0505,0.0083,0.9632,0.4968,0.01,0.0,0.2069,0.125,0.0,0.0148,0.0336,0.0609,0.0347,0.0427,0.0515,0.0086,0.9633,0.5165,0.0101,0.0,0.2069,0.125,0.0,0.0151,0.0367,0.0635,0.035,0.0452,0.051,0.0083,0.9632,0.5035,0.0101,0.0,0.2069,0.125,0.0,0.015,0.0342,0.062,0.0349,0.0436,reg oper account,block of flats,0.0627,"Stone, brick",No,0.0,0.0,0.0,0.0,-1118.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
404667,0,Cash loans,F,N,N,1,112500.0,503676.0,34200.0,382500.0,Unaccompanied,Working,Higher education,Married,With parents,0.007305,-10366,-321,-610.0,-2325,,1,1,0,1,0,0,Sales staff,3.0,3,3,FRIDAY,10,0,0,0,0,0,0,Self-employed,0.4236371568552991,0.344477840791565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
114238,0,Cash loans,F,Y,Y,1,247500.0,270045.0,30595.5,256500.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.016612,-8544,365243,-8507.0,-1223,2.0,1,0,0,1,0,0,,3.0,2,2,SATURDAY,14,0,0,0,0,0,0,XNA,0.503867818783453,0.1173011930750817,0.190705947811054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,10.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
373414,1,Cash loans,F,N,Y,0,112500.0,339241.5,16627.5,238500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020713,-13987,-778,-203.0,-3510,,1,1,0,1,0,0,Sales staff,2.0,3,2,TUESDAY,6,0,0,0,0,0,0,Business Entity Type 3,0.3210574701825198,0.4093357995240928,0.3589512285783967,0.0619,0.05,0.9742,0.6464,0.0052,0.0,0.1034,0.1667,0.2083,0.0572,0.0504,0.0499,0.0,0.0,0.063,0.0519,0.9742,0.6602,0.0053,0.0,0.1034,0.1667,0.2083,0.0585,0.0551,0.052,0.0,0.0,0.0625,0.05,0.9742,0.6511,0.0053,0.0,0.1034,0.1667,0.2083,0.0582,0.0513,0.0508,0.0,0.0,reg oper account,block of flats,0.0392,"Stone, brick",No,3.0,0.0,3.0,0.0,-635.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,5.0
188388,0,Cash loans,F,Y,N,0,202500.0,500490.0,48888.0,450000.0,Unaccompanied,Commercial associate,Higher education,Married,House / apartment,0.035792,-22783,-1329,-1071.0,-4319,16.0,1,1,0,1,0,0,Accountants,2.0,2,2,WEDNESDAY,12,0,0,0,0,1,1,Transport: type 4,,0.5549077290439568,0.1997705696341145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2049.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,4.0
231929,1,Cash loans,F,Y,Y,1,67500.0,1024740.0,52452.0,900000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0116569999999999,-10836,-830,-6092.0,-380,2.0,1,1,0,1,0,0,Laborers,3.0,1,1,SATURDAY,15,0,0,0,0,1,1,Industry: type 11,0.3233663087214772,0.360396242872698,,0.0928,0.1015,0.9831,,,0.0,0.2069,0.1667,,0.0,,0.0876,,0.0,0.0945,0.1054,0.9831,,,0.0,0.2069,0.1667,,0.0,,0.0913,,0.0,0.0937,0.1015,0.9831,,,0.0,0.2069,0.1667,,0.0,,0.0892,,0.0,,block of flats,0.0699,Panel,No,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
